,과목이름,교수님,평점,과제,팀플,학점 비율
99,공학설계기초,장윤,5,많음,많음,학점느님
100,데이터시각화,장윤,3,많음,보통,비율 채워줌
101,공학설계기초(산학프로젝트입문),장윤,2.96,많음,없음,학점느님
102,컴퓨터그래픽스,장윤,2.92,많음,없음,비율 채워줌
103,ES-웨어러블컴퓨터디자인,장윤,1,많음,많음,비율 채워줌
104,대학생활과진로설계,장윤,1,보통,보통,학점느님
105,창업과기업가정신2,권기학,3.83,보통,없음,학점느님
106,Capstone디자인(산학협력프로젝트),권기학,3.5,보통,보통,학점느님
107,특허와창업,권기학,3,보통,보통,매우 깐깐함
108,공학설계기초(산학프로젝트입문),권기학,2.36,많음,많음,비율 채워줌
109,Capstone디자인(산학협력프로젝트),권기학,1.8,많음,많음,매우 깐깐함
110,고급C프로그래밍및실습,김문석,2.67,보통,없음,비율 채워줌
111,C#프로그래밍,김문석,2.6,보통,없음,비율 채워줌
112,C프로그래밍및실습,김천식,4.89,보통,없음,비율 채워줌
113,고급C프로그래밍및실습,김천식,4.33,보통,없음,비율 채워줌
114,바리스타및음료실습2,이수정,5,보통,없음,학점느님
115,고등교육론,이수정,4.67,보통,보통,비율 채워줌
116,교육학의탐구,이수정,4.63,보통,보통,비율 채워줌
117,교육행정의이론과실제,이수정,4.33,보통,보통,비율 채워줌
118,대학의이해,이수정,4.29,보통,보통,비율 채워줌
119,바리스타및음료실습1,이수정,4.17,보통,보통,학점느님
120,현대인의삶과와인,이수정,4,없음,없음,비율 채워줌
121,Capstone디자인(산학협력프로젝트),이수정,2.5,많음,많음,매우 깐깐함
122,공업수학1,이수정,2.48,보통,없음,F 폭격기
123,자료구조및실습,이수정,2.33,보통,없음,비율 채워줌
124,소프트웨어특강2,Abolghasem Sadeghi-Niaraki,3.5,많음,없음,학점느님
125,공학설계기초(산학프로젝트입문),Abolghasem Sadeghi-Niaraki,2.14,많음,많음,비율 채워줌
126,소프트웨어특강1,Abolghasem Sadeghi-Niaraki,1,많음,보통,매우 깐깐함
127,웹프로그래밍,Abolghasem Sadeghi-Niaraki,1,보통,보통,학점느님
128,프로그래밍언어의개념,Anish Prasad Shrestha,4.8,보통,없음,학점느님
129,이산수학및프로그래밍,Anish Prasad Shrestha,3.86,보통,보통,학점느님
130,공업수학1,Anish Prasad Shrestha,3.75,보통,없음,비율 채워줌
131,HCI개론,Muhammad Raheel Bhutta,5,없음,없음,학점느님
132,운영체제,Muhammad Raheel Bhutta,4.67,보통,없음,비율 채워줌
133,문제해결및실습:C++,Muhammad Raheel Bhutta,3.5,보통,없음,비율 채워줌
134,데이터베이스,Muhammad Raheel Bhutta,2,많음,없음,비율 채워줌
